Master ID,Source Report,Original ID,Title,Area,Severity,Current Status,Duplicate Of,Owner Impact,Trading Impact,Data Impact,Files Likely Touched,Fix Lane,Acceptance Test,Production Verification Needed
MQ-P1-05,quant_grade_deep_audit_v2.md,P1-5,P&L report window mismatch,Reports,P1,OPEN_P1,,Windows differ across reports,Report trust,Window mismatch,paperReportsFO; report routes,Lane 3,Aligned window constants + test,NO
MQ-P1-06,quant_grade_deep_audit_v2.md,P1-6,Worst trades showing positive winners as red,Reports,P1,OPEN_P1,,Winners listed among worst trades,Report trust,Sort/filter bug,paperReportsFO,Lane 3,Worst-trades list losses-only test,NO
MQ-P1-07,quant_grade_deep_audit_v2.md,P1-7,Drawdown denominator label,Reports,P1,OPEN_P1,,DD % base unclear,Report trust,Label ambiguity,reports UI,Lane 3,Denominator labeled (seed vs equity) explicitly,NO
MQ-P1-08,quant_grade_deep_audit_v2.md,P1-8,MFE/MAE for never-triggered signals,F&O lifecycle,P1,OPEN_P1,,MFE/MAE shown for signals that never triggered,Misleading excursion stats,Semantics gap,optionSignalLifecycle.ts,Lane 2,MFE/MAE null until TRIGGERED; test,NO
MQ-P1-09,quant_grade_deep_audit_v2.md,P1-9,ITM IV/Greeks quality flags,Options analytics,P1,OPEN_P1,,ITM IV noise unflagged,Analytics only,Quality flags missing,greeks/IV helpers,Lane 5,Quality flag on ITM IV outputs,NO
MQ-P1-10,quant_grade_deep_audit_v2.md,P1-10,dOI baseline labels,Options analytics,P1,OPEN_P1,,dOI baseline (prev EOD vs intraday) unlabeled,Analytics only,Baseline ambiguity,oiLab; option chain UI,Lane 5,Baseline label on every dOI figure,NO
MQ-P1-11,quant_grade_deep_audit_v2.md,P1-11,Real future mislabeled synthetic/modelled,Futures data,P1,OPEN_P1,,Real quotes labeled synthetic,Trust inversion,Label bug,futures surfaces,Lane 5,Label matches actual source; test,NO
MQ-P1-12,quant_grade_deep_audit_v2.md,P1-12,FII+DII combined formula verification,Participant data,P1,OPEN_P1,,Combined flow formula unverified,Analytics only,Formula verification,participant OI/flow modules,Lane 5,Formula verified vs NSE published sample,NO
MQ-P1-13,quant_grade_deep_audit_v2.md,P1-13,India VIX vs US VIX label/source,Vol data,P1,OPEN_P1,,VIX label may mix India/US,Vol context wrong,Source mislabel,home/market pulse; global artifact,Lane 5,Explicit source label per VIX figure,NO
MQ-P1-14,quant_grade_deep_audit_v2.md,P1-14,FII/DII stale date parity,Participant data,P1,OPEN_P1,,Different dates mixed in one view,Analytics only,Staleness parity,FII/DII fetchers,Lane 5,Latest-common-date rule + stale label,NO
MQ-P1-15,quant_grade_deep_audit_v2.md,P1-15,Holiday calendar source/year validation,Calendar,P1,OPEN_P1,,Hardcoded holiday years,Session gating drift 2028+,Maintenance risk,trading-days helpers,Lane 5,Year-coverage CI check + official source,NO
MQ-P1-16,quant_grade_deep_audit_v2.md,P1-16,Debt/bond included in equity scanner,Universe,P1,OPEN_P1,,Bond/debt instruments in equity results,Universe contamination,Classification gap,scanner universe filters,Lane 5,Instrument-type exclusion test,NO
MQ-P1-17,FNO_VWAP_VOLUME_PROFILE_HONESTY_REPORT.md,P1-17,VWAP placeholder equals spot,F&O indicators,P1,FIXED_PROD_VERIFIED,,Was shown as institutional fair value,Detector gating fixed via vwapAvailable,Placeholder honesty,optionSignals; vwap label,Done,FNO_VWAP_VOLUME_PROFILE_HONESTY_PROD_VERIFIED,NO
MQ-P1-18,quant_grade_deep_audit_v2.md,P1-18,Far illiquid strikes shown as support/resistance,Options analytics,P1,OPEN_P1,,Illiquid strikes drive S/R,S/R quality,Liquidity filter missing,option chain analytics,Lane 5,Liquidity floor on S/R strike selection,NO
MQ-P1-19,quant_grade_deep_audit_v2.md,P1-19,Invalid off-session trades included in backtest metrics,Backtest,P1,OPEN_P1,,Off-session rows pollute metrics,Backtest trust,Session validation,backtest metrics builders,Lane 3,Session-window filter + metric recompute test,NO
MQ-P1-20,quant_grade_deep_audit_v2.md,P1-20,ATR api-server EMA vs scanner Wilder divergence,Indicators,P1,NEEDS_OWNER_APPROVAL,,ATR differs across surfaces,Stop distances differ by method,Method divergence,indicators (both artifacts),Lane 6,Owner picks canonical method; parity test,NO
MQ-P1-21,quant_grade_deep_audit_v2.md,P1-21,Margin estimate vs SPAN/Kite margin API,Options math,P1,OPEN_P1,,Margin estimates rough,Sizing realism,Estimate vs real SPAN,estimateMargin,Lane 5,Compare vs Kite margin API sample; label ESTIMATE,NO
MQ-P1-22,quant_grade_deep_audit_v2.md,P1-22,NSE fallback chain fabricated prevClose/changePercent,Index data,P1,OPEN_P1,,Fabricated fields in fallback path,Baseline contamination,Fabrication,nse fallback providers,Lane 1,Fallback omits unavailable fields; honesty test,YES
MQ-P1-23,quant_grade_deep_audit_v2.md,P1-23,yearsToExpiry fallback to 1/365,Options math,P1,OPEN_P1,,Greeks distorted on fallback,Greeks quality,Silent fallback,greeks helpers,Lane 5,Fallback removed or flagged; test,NO
MQ-DONE-01,FNO_COST_MODEL_UNIFICATION_REPORT.md,C-1,F&O cost model unification,Costs,P1,FIXED_PROD_VERIFIED,,,,,fnoCostModel + guard tests,Done,FNO_COST_MODEL_UNIFICATION_PROD_VERIFIED,NO
MQ-DONE-02,Backtest charges reports,C-2,Backtest charges + net P&L,Costs,P1,FIXED_PROD_VERIFIED,,,,,backtest cost model,Done,BACKTEST_CHARGES_MODEL_NET_PNL_PROD_VERIFIED,NO
MQ-DONE-03,FNO_VWAP_VOLUME_PROFILE_HONESTY_REPORT.md,C-3,VWAP/volume-profile honesty,Indicators,P1,FIXED_PROD_VERIFIED,MQ-P1-17,,,,optionSignals vwapAvailable,Done,FNO_VWAP_VOLUME_PROFILE_HONESTY_PROD_VERIFIED,NO
MQ-DONE-04,FNO_TRIGGER_SEMANTICS_HONESTY_REPORT.md,C-4,Trigger wording semantics for NEW rows,F&O signals,P0,FIXED_PROD_VERIFIED,MQ-P0-07,,,,trigger semantics fields,Done,FNO_TRIGGER_WORDING_SEMANTICS_PROD_VERIFIED (legacy-row normalization still open under MQ-P0-07),NO
MQ-DONE-05,KITE_OI_UNIT_VERIFICATION_REPORT.md,C-5,Kite OI units,Options data,P1,NOT_A_BUG,,,,,none,Done,KITE_OI_UNIT_VERIFICATION_CONFIRMED_CORRECT,NO
MQ-DONE-06,P1_CONSOLIDATED_REMAINING_WORK_AUDIT_REPORT.md,C-6,P1A gross/net display and option STT label,Reports,P1,FIXED_PROD_VERIFIED,,,,,foCockpitView,Done,P1A_PAPER_TRADING_GROSS_NET_DISPLAY_PROD_VERIFIED,NO
MQ-DONE-07,P1B_MACD_WARMUP_FIX_REPORT.md,C-7,P1B MACD warm-up fix,Indicators,P1,FIXED_PROD_VERIFIED,,,,,indicators startIdx slicing,Done,P1B_MACD_WARMUP_FIX_PROD_VERIFIED (commit 8f41f811 live),NO
MQ-DONE-08,EXIT_PREMIUM_MARKET_SHADOW_REPORT.md,C-8,Exit premium market shadow infrastructure,F&O paper,P1,NEEDS_LIVE_DATA_VERIFICATION,,,,,fnoMarketShadowCapture,Done,EXIT_PREMIUM_MARKET_SHADOW_PROD_INFRA_VERIFIED_LIVE_SAMPLE_PENDING - first live F&O exit must record shadow field,YES
MQ-DONE-09,Quant-Grade Audit 2026-07-08,C-9,Hardcoded lot-size correction (values),Contracts,P0,DUPLICATE,MQ-P0-12,,,,lot-size maps,Lane 1,Values corrected; dynamic resolver tracked under MQ-P0-12,NO
MQ-REB-01,POST_P0_SIGNAL_SYSTEM_REBASELINE_REPORT.md,R-1,Post-P0 signal system re-baseline sample,F&O signals,P1,NEEDS_LIVE_DATA_VERIFICATION,,,,,none (observation),Monitor,>=20 post-P0 signals accumulated then re-baseline,YES
MQ-L2-01,P0-00 forensic audit 2026-07-09,L2-1,Same strike/direction paper-open reuse risk after STOP (register item from forensic),F&O paper,P1,MONITOR_ONLY,,Cooldown guard exists in shadow mode (G3),Re-entry risk if guards stay shadow,None,fnoPaperRiskGuards.ts,Lane 6,Enable paper_block mode after simulation acceptance,NO
